data_bloomberg,ipca_index
2017-04-30,4828.44
2017-05-31,4843.41
2017-06-30,4832.27
2017-07-31,4843.87
2017-08-31,4853.07
2017-09-30,4860.83
2017-10-31,4881.25
2017-11-30,4894.92
2017-12-31,4916.46
2018-01-31,4930.72
2018-02-28,4946.5
2018-03-31,4950.95
2018-04-30,4961.84
2018-05-31,4981.69
2018-06-30,5044.46
2018-07-31,5061.11
2018-08-31,5056.56
2018-09-30,5080.83
2018-10-31,5103.69
2018-11-30,5092.97
2018-12-31,5100.61
2019-01-31,5116.93
2019-02-28,5138.93
2019-03-31,5177.47
2019-04-30,5206.98
2019-05-31,5213.75
2019-06-30,5214.27
2019-07-31,5224.18
2019-08-31,5229.93
2019-09-30,5227.84
2019-10-31,5233.07
2019-11-30,5259.76
2019-12-31,5320.25
2020-01-31,5331.42
2020-02-29,5344.75
2020-03-31,5348.49
2020-04-30,5331.91
2020-05-31,5311.65
2020-06-30,5325.46
2020-07-31,5344.63
2020-08-31,5357.46
2020-09-30,5391.75
2020-10-31,5438.12
2020-11-30,5486.52
2020-12-31,5560.59
2021-01-31,5574.49
2021-02-28,5622.43
2021-03-31,5674.72
2021-04-30,5692.31
2021-05-31,5739.56
2021-06-30,5769.98
2021-07-31,5825.37
2021-08-31,5876.05
2021-09-30,5944.21
2021-10-31,6018.51
2021-11-30,6075.69
2021-12-31,6120.04
2022-01-31,6153.09
2022-02-28,6215.24
2022-03-31,6315.93
2022-04-30,6382.88
2022-05-31,6412.88
2022-06-30,6455.85
2022-07-31,6411.95
2022-08-31,6388.87
2022-09-30,6370.34
2022-10-31,6407.93
2022-11-30,6434.2
2022-12-31,6474.09
2023-01-31,6508.4
2023-02-28,6563.07
2023-03-31,6609.67
2023-04-30,6649.99
2023-05-31,6665.28
2023-06-30,6659.95
2023-07-31,6667.94
2023-08-31,6683.28
2023-09-30,6700.66
2023-10-31,6716.74
2023-11-30,6735.55
2023-12-31,6773.27
2024-01-31,6801.72
2024-02-29,6858.17
2024-03-31,6869.14
2024-04-30,6895.24
2024-05-31,6926.96
2024-06-30,6941.51
2024-07-31,6967.89
2024-08-31,6966.5
2024-09-30,6997.15
2024-10-31,7036.33
2024-11-30,7063.77
2024-12-31,7100.5
2025-01-31,7111.86
2025-02-28,7205.03
2025-03-31,7245.38
2025-04-30,7276.54
2025-05-31,7295.46
2025-06-30,7312.97
2025-07-31,7331.98
2025-08-31,7323.91
2025-09-30,7359.06
2025-10-31,7365.68
2025-11-30,7378.94
2025-12-31,7403.29
2026-01-31,7427.72
2026-02-28,7479.71
2026-03-31,7545.53
2026-04-30,7596.09
2026-05-31,7640.15
2026-06-30,7652.37
